tagID	tagValue
1	metal
2	alternative metal
3	goth rock
4	black metal
5	death metal
6	industrial metal
7	gothic metal
8	terror ebm
9	electro-industrial
10	harsh ebm
11	post black metal
12	aggrotech
13	chillout
14	ambient
15	downtempo
16	new wave
17	synth pop
18	electronic
20	lounge
21	trip-hop
22	acid jazz
23	new age
24	pop
25	80s 19, 43
26	atmospheric
27	ethereal
28	deutsch
29	schlager
30	german
33	experimental
34	minimal
35	cyberpunk
36	club house
37	groove
38	cafe del mar
39	dance
40	gregorian chant
41	female vocalists 49 130
42	synth-pop
44	glitch
45	u-cover
46	melancholy 56
47	edm
50	modern classical
51	clicks and cuts
52	databloem
53	field recording
54	greece
57	clicks'n'cuts
58	halbischt
59	drone
61	industrial
62	trip hop
63	basses frequences
64	mille plateaux
65	folktronica
66	abstract
67	noise
68	glitch hop
69	dub
70	dubstep
71	hiphop
72	hard rock
73	rock
74	synthpop
75	psychedelic rock
76	progressive metal
77	ambient rock
78	alternative rock
79	alternative
80	glam rock
81	indie
82	doom metal
83	jazz
84	indie rock
85	funk
87	post-rock
88	psychedelic
89	symphonic metal
90	trance
91	thrash metal
92	dope
93	israeli
94	winter
95	autumn
96	spring
98	summer
99	sunshine
100	hip hop under 112
101	raptuga
102	hip-hop
103	rap
104	chill out
105	house
106	taraxinha
107	kizomba
108	rock and roll
109	pop rock
110	kizomba zouk
111	70 hits
113	hip hop angolano
114	luso hip hop
115	french rap
116	jam
117	kwasa
118	semba
119	angola
120	world music
121	uk
122	old school
123	new york
124	pop dance
126	zouk
129	music idol
131	girl groups
132	girls
133	deutschsprachig
138	hard rock - metal
139	j-rock
140	j-pop
141	visual kei
142	electronic - trance - psytrance
143	classical - pop
144	arabic
145	kpop
146	jaebeom
147	top
149	g-dragon
151	wonder girls
153	junsu
155	park jaebum 156
158	jaywalkers
159	anime
160	noise rock
161	kim jong kook
162	soya
163	niece
164	k-pop
165	good music
167	rnb
168	teen rock
169	pop punk
170	grunge
173	lyceum
174	belarussian pop
175	belarussian rnb
176	emo
177	nu metal
178	screamo
179	gothic
180	post-hardcore
181	punk
182	punk rock
183	christian rock
184	soundtrack
185	acoustic
186	emocore
187	electronica
188	polish
189	industrial rock
190	gothic rock
191	instrumental
192	classic rock
193	country
